ID,Name,Latitude,Longitude,Type,Neighbours
0,PGP Terminal,1.29181,103.7804,Bus Stop,449
1,PGP House 15,1.29298,103.7779,Bus Stop,451/454/24
2,TCOMS,1.29355,103.777,Bus Stop,453/454/451/23
3,Opp HSSML,1.29294,103.7751,Bus Stop,461/480/479/464
4,Opp NUSS,1.29325,103.7724,Bus Stop,413/436/484/448
5,Ventus (Opp LT13),1.29535,103.7706,Bus Stop,422/423/405/424/404
6,Information Technology,1.2972,103.7727,Bus Stop,346/493/402/492/18
7,Opp YIH,1.29889,103.7741,Bus Stop,495/17/332/302
8,Museum,1.30116,103.7735,Bus Stop,300/308/303/306/330/329
9,University Health Centre,1.29894,103.7761,Bus Stop,258/16/254
10,Opp UHall,1.29756,103.7781,Bus Stop,15/244
11,S17,1.29753,103.7807,Bus Stop,11/201/202
12,Opp Kent Ridge MRT,1.29498,103.7846,Bus Stop,12/139
13,Kent Ridge MRT,1.2948,103.7844,Bus Stop,13/139
14,LT27,1.29735,103.781,Bus Stop,14/201/207/205/206
15,UHall,1.29742,103.778,Bus Stop,10/244
16,Opp University Health Centre,1.29874,103.7757,Bus Stop,9/258/271
17,YIH,1.29885,103.7743,Bus Stop,7/495/302/272
18,Central Library,1.29628,103.7723,Bus Stop,401/402/407/492/6
19,LT13,1.29483,103.7706,Bus Stop,423/422/424/425
20,AS5,1.29354,103.7718,Bus Stop,426/436/413/414/432
21,COM2,1.29425,103.7738,Bus Stop,437/435/419/486/438
22,BIZ2,1.29322,103.7751,Bus Stop,460/468/470
23,Opp TCOMS,1.29371,103.777,Bus Stop,2/454/453/451
24,PGP House 7,1.2931,103.7781,Bus Stop,452/451/1
25,University Town,1.30355,103.7744,Bus Stop,602/617
26,PGP Residence,1.29096,103.7811,Bus Stop,489/472/463/478
27,Kent Ridge Bus Terminal,1.29427,103.7697,Bus Stop,415/411/403
28,Raffles Hall,1.30096,103.7728,Bus Stop,306/307/304/303/330/329
29,EA,1.30061,103.7702,Bus Stop,312/327/334/337/326/30
30,Japanese Primary School,1.30076,103.7699,Bus Stop,312/29
31,Kent Vale,1.30182,103.7696,Bus Stop,359/305
100,Kent Ridge MRT Station,1.294311,103.7846,Building,13/145/144/103/154/102
101,NUH Main Building Lobby A,1.295248,103.7827,Building,142/143/128
102,NUH Main Building Lobby B,1.294422,103.784,Building,128/100/13/144
103,NUH Medical Centre,1.293408,103.7846,Building,100/144/145/153/154
104,NUH Centre for Oral Health,1.2956,103.7834,Building,143
105,NUHCOS Roundabout,1.295437,103.7842,Road,139/143/138
106,Dentistry Roundabout,1.296865,103.7829,Road,138/157/206
107,Dentistry Carpark (CP9),1.297036,103.7816,Building,108/200/109
108,Faculty of Dentistry,1.296844,103.7819,Building,107/110/157
109,MD9,1.296692,103.7813,Building,107/110/112/120/213
110,MD10,1.296544,103.7818,Building,109/146/111
111,MD11,1.296026,103.7818,Building,110/137/112/116
112,DSO Kent Ridge,1.296295,103.7813,Building,109/120/113/213
113,MD7,1.296092,103.7811,Building,112/114/126
114,MD4,1.29576,103.7809,Building,113/119/127
115,MD3,1.295365,103.7811,Building,119/125/116
116,MD6,1.29529,103.7816,Building,115/117/118/125/148/119/111/121
117,LT35,1.295601,103.7816,Building,116
118,LT36,1.295126,103.7815,Building,116
119,MD5,1.295707,103.7813,Building,114/115/116
120,LT26,1.296465,103.7811,Building,112/109
121,MD2,1.294955,103.7812,Building,116/122/132
122,MD1,1.295441,103.7804,Building,121/147/203/225
125,Medical Library,1.295246,103.7813,Building,116
126,LT25,1.296135,103.7807,Building,127/113
127,LT24,1.295859,103.7806,Building,126/114/222
128,NUH Main Building,1.294442,103.783,Building,101/102/152
129,NUH Kent Ridge Wing,1.293348,103.7834,Building,151/152/153/103
130,NUHS Tower Block,1.292455,103.7833,Building,158/151/153
131,NUH Service Block,1.296145,103.7827,Building,141/106
132,Centre for Life Sciences,1.294492,103.7809,Building,121/133
133,CLS Carpark (CP10C),1.294328,103.781,Building,132/149
137,MD11 Carpark (CP9A),1.296147,103.782,Building,111/146
138,Lower Kent Ridge Road,1.2962,103.7837,Road,105/106
139,Lower Kent Ridge Road,1.294921,103.7845,Road,145/105/12/13
141,Medical Drive,1.296137,103.7823,Road,157/131/142/146
142,NUH Roundabout (North),1.295317,103.7824,Road,141/101/143/148
143,Medical Drive,1.295381,103.7835,Road,142/101/104/105
144,NUH Roundabout (South),1.293957,103.7842,Road,102/100/145/103/153
145,Lower KR Rd - Medical Dr Junction (NUH),1.294276,103.7849,Road,139/100/144/154
146,Medical Drive,1.296422,103.7822,Road,157/110/137/141/148
147,LT37,1.295574,103.7801,Building,122
148,Medical Drive,1.295008,103.7821,Road,146/116/142/149
149,Medical Drive,1.294316,103.7814,Road,148/133/150
150,Medical Drive,1.293148,103.7819,Road,149/151
151,Medical Drive,1.292959,103.783,Road,149/152/153/130/129
152,Medical Drive,1.293959,103.7831,Road,151/129/128
153,Medical Drive,1.292988,103.7839,Road,151/144/129/130/103
154,Lower KR Rd - SBV Rd Junction,1.293264,103.7852,Road,155/103/145
155,South Buona Vista Road,1.292434,103.7845,Road,154/156
156,KR Rd - SBV Rd Junction,1.291572,103.7835,Road,155/158
157,Lower KR Rd - Medical Dr Junction (Med),1.29698,103.78221,Road,200/106/108/146
158,PGP - KR Rd Junction,1.291946,103.7832,Road,156/439/440/490/130
200,Lower Kent Ridge Road,1.29739,103.7815,Road,157/107/206/205/208
201,Lower Kent Ridge Road,1.29742,103.78063,Road,11/14/236/211
202,S17,1.297758,103.7804,Building,209/210/11/261/207
203,S6,1.29501,103.7803,Building,122/204/225
204,Science Library,1.295242,103.7801,Building,203
205,LT28,1.297263,103.7811,Building,200/206/207/14
206,LT29,1.297137,103.7813,Building,200/205/207/14
207,LT27,1.297038,103.7808,Building,14/205/206/236
208,S17 Carpark (CP10),1.297572,103.7816,Building,200/202
209,LT33,1.297766,103.781,Building,202
210,LT34,1.297742,103.7808,Building,202
211,S15,1.297184,103.7802,Building,201/212/215
212,S16,1.296651,103.7803,Building,211/214/213/236
213,Science Canteen (Frontier),1.29679,103.78053,Building,109/112/212/236/207
214,LT31,1.296901,103.7804,Building,212
215,S14,1.296849,103.7797,Building,211/216/256
216,S13,1.2968,103.7792,Building,215/217/256/218/219
217,S12,1.296985,103.7787,Building,216/219/257
218,S11 Carpark (CP6),1.296527,103.7791,Building,219/216/220
219,S11,1.296664,103.7788,Building,218/216/217/220
220,S7,1.296305,103.7789,Building,221/231
221,S8,1.296103,103.7793,Building,220/222/226
222,S9,1.296064,103.7797,Building,221/223/234/235/225
223,S9A,1.295855,103.7797,Building,222
224,LT21,1.295372,103.7795,Building,225
225,S5,1.295517,103.7797,Building,224/203/222/226/227/122
226,S4A,1.29582,103.7793,Building,227/225/221
227,S4,1.29563,103.7791,Building,226/225/229
228,LT20,1.295839,103.7788,Building,229
229,S3,1.295571,103.7786,Building,228/227/230
230,S2,1.295512,103.7781,Building,232/268
231,S1A,1.296155,103.7783,Building,232/233/267/220
232,S1,1.295839,103.778,Building,230/231
233,Carpark 6A,1.296177,103.7781,Building,231
234,LT22,1.29588,103.7795,Building,222
235,S9 Carpark (CP7),1.295699,103.78,Building,222
236,LT27 Carpark (CP8),1.297082,103.7806,Building,201/211/212/213/207
237,UHall Carpark (P6B),1.297162,103.7773,Building,238/244/269
238,Lower Kent Ridge Road,1.297753,103.7775,Road,237/244/257/246/247/269/239
239,Lower Kent Ridge Road,1.298398,103.7768,Road,238/247/258/262
244,University Hall,1.29733,103.77794,Building,10/15/237/238/257
245,Multi Purpose Fields,1.297875,103.7794,Building,256/261/264
246,Football Field,1.298595,103.7784,Building,264/263/247/238
247,Tennis Courts,1.298702,103.7773,Building,246/238/239/262
248,Netball Courts,1.299869,103.7771,Building,262/263/250
249,MPSH,1.300794,103.7759,Building,250/251/253
250,MPSH5,1.300386,103.7763,Building,248/249/251
251,MPSH6,1.300248,103.7757,Building,249/250/252
252,University Sports Centre,1.299744,103.7755,Building,251/270/266/254
253,Singapore Wind Tunnel Facility,1.301042,103.7753,Building,249/600
254,University Health Centre,1.299098,103.7763,Building,266/258/252
255,RVRC,1.298538,103.7761,Building,258/269
256,Lower Kent Ridge Road,1.297117,103.7794,Road,245/257/215/216/201
257,Lower Kent Ridge Road,1.297365,103.7785,Road,238/256/244/217/264
258,Lower Kent Ridge Road,1.29886,103.77592,Road,9/16/255/265
259,AYE Bus Stop (Opp SIT Dover),1.299149,103.7793,Building,263/260
260,Footpath,1.29861,103.7801,Road,259/261
261,Footpath,1.297752,103.7802,Road,260/245/202
262,Footpath,1.299369,103.7768,Road,239/247/248/263
263,Footpath,1.299353,103.7786,Road,262/259/264/246
264,Footpath,1.298216,103.7789,Road,246/263/245/257
265,Staff Club Carpark (CP5B),1.298991,103.7757,Building,266/258
266,NUS Staff Club,1.299223,103.7758,Building,265/252/254
267,LT32,1.29602,103.77834,Building,231
268,Science-BIZ Shortcut,1.295074,103.7773,Road,230/453
269,RVRC (UHall),1.29743,103.77704,Building,237/238/255/244
270,USC Carpark (CP5),1.300159,103.7749,Building,252/301
271,Lower Kent Ridge Road,1.298975,103.7751,Road,258/302/272
272,Yusof Ishak House,1.298624,103.7749,Building,271/495/496/17
300,Raffles Hall Roundabout,1.300602,103.7742,Road,330/331/301/600/303/8
301,Kent Ridge Cres,1.300085,103.7745,Road,302/270/300/331/330
302,YIH Roundabout,1.29938,103.7746,Road,301/332/271/272/495/7/17
303,Kent Ridge Cres,1.30111,103.7732,Road,300/304/330/329/306/308/8/28
304,Kent Ridge Cres,1.30109,103.7719,Road,305/328/338/303/306/307/28
305,Clementi Rd-Kent Ridge Cres Junction 2,1.301552,103.7705,Road,359/304/312/31
306,NUS Museum,1.301392,103.7726,Building,308/310/309/307/304/303/8/28
307,University Cultural Centre,1.301622,103.772,Building,309/306/304/28
308,Lee Kong Chian Natural History Museum,1.301421,103.7736,Building,303/310/306/309/8
309,Yong Siew Toh Conservatory of Music,1.302198,103.7727,Building,311/307/306/310/308
310,LKC Carpark (CP3A),1.302046,103.7736,Building,311/309/308
311,YST Carpark (CP3),1.30252,103.773,Building,309/310
312,Clementi Road,1.30065,103.7701,Road,305/313/327/326/337/29/30
313,Clementi Road,1.299377,103.7699,Road,312/314/326/325/324
314,Clementi Road,1.297858,103.7698,Road,313/321/400
315,Architecture Dr,1.296703,103.7709,Road,401/316/317/318
316,SDE4,1.29686,103.7704,Building,317/315/320/319
317,Architecture Dr,1.296778,103.7701,Road,315/316/321
318,CELC,1.297066,103.7714,Building,319/315
319,SDE2,1.297296,103.7711,Building,318/315/316/320
320,SDE1,1.29735,103.7707,Building,322/321/319/316
321,Architecture Dr,1.297841,103.7702,Road,324/317/314/322/320
322,SDE3,1.298206,103.7704,Building,323/324/321/320
323,EW1,1.298587,103.7707,Building,324/322/343
324,Architecture Dr,1.298979,103.7701,Road,321/326/325/313/342/343/322/323
325,EA Carpark (CP2B),1.299542,103.7702,Building,304/338/327/335/334
326,Engineering Drive 1,1.299897,103.7702,Road,325/324/337/327/312/29
327,Engineering Drive 1,1.300814,103.7705,Road,312/326/337/334/328/335/29
328,EA Carpark (CP2A),1.300693,103.7717,Building,304/338/327/335/334
329,Kuok Foundation House,1.30038,103.7737,Building,330/331/303/338/8/28
330,Raffles Hall Carpark (CP4),1.30045,103.7739,Building,303/300/301/331/329/8/28
331,Raffles Hall Main Lobby,1.300056,103.774,Building,329/330/300/301
332,Runme Shaw CFA Studios,1.299247,103.7738,Building,495/331/352/7
334,LT7A,1.30049,103.7709,Building,327/337/336/335/328/29
335,E3A,1.300371,103.7713,Building,328/334/337/336/339/338
336,LT7,1.300134,103.7711,Building,337/334/335/339/357
337,EA,1.300246,103.7706,Building,312/358/336/334/326/327/29
338,Engineering Drive 1,1.300287,103.7722,Road,329/304/328/340/339
339,Engineering Drive 3,1.300036,103.7718,Road,338/341
340,T-Lab Carpark (CP2),1.299734,103.7725,Building,338/352/353/354/341/339
341,T-Lab,1.299682,103.772,Building,355/339/340/354
342,E1A,1.299349,103.7707,Building,325/324/358/343
343,E1,1.298717,103.7711,Building,323/344/345/342
344,E2A,1.29893,103.77133,Building,343/356/351
345,LT5,1.298324,103.7713,Building,323/343/348
346,Information Technology,1.297535,103.7725,Building,493/402/347/6
347,E5,1.29803,103.7725,Building,348/346/493
348,E4,1.298427,103.7722,Building,347/349/350/351
349,E4A,1.298657,103.7726,Building,350/348/353/349
350,Engineering Drive 3,1.298744,103.7722,Road,351/348/349/354/341/355/339
351,LT6,1.29881,103.772,Building,344/356/355/350/348/354
352,E6,1.299179,103.773,Building,332/353/354/340
353,Engineering Drive 1,1.298895,103.7729,Road,352/354/349/340
354,EW2/WS2,1.299131,103.7725,Building,341/350/349/353/352
355,E3,1.299521,103.7716,Building,357/356/351/354/341
356,LT2,1.299349,103.7714,Building,358/357/344/355
357,LT1,1.299559,103.7712,Building,336/358/356/355
358,E2,1.299502,103.7711,Building,342/356/357/344/337
359,Kent Vale,1.302016,103.7692,Building,305/31
400,Clementi Rd - KR Cres Junction,1.296054,103.7697,Road,401/403/314
401,KR Dr - KR Cres Junction,1.296289,103.771,Road,405/400/315/402/407/18
402,Kent Ridge Cres,1.296572,103.7723,Road,492/407/401/493/18/6
