Start Name ,Start ID,End Name,End ID,Path Duration,Bus Services,Travelling Coordinates
PGP Terminal,0,Kent Ridge MRT,13,165,A1 D2,1.29181/103.78042 1.29110/103.78105 1.29194/103.78317 1.29157/103.78357 1.29323/103.78532 1.29422/103.78485 1.29480/103.78439
Kent Ridge MRT,13,LT27,14,90,A1 D2,1.29480/103.78439 1.29542/103.78401 1.29678/103.78294 1.29735/103.78099
LT27,14,UHall,15,55,A1 C D2,1.29735/103.78099 1.29711/103.77944 1.29742/103.77799
UHall,15,Opp University Health Centre,16,85,A1 C D2,1.29742/103.77799 1.29881/103.77631 1.29874/103.77566
Opp University Health Centre,16,YIH,17,50,A1,1.29874/103.77566 1.29929/103.77461 1.29885/103.77433
YIH,17,Central Library,18,70,A1 B1 D1,1.29885/103.77433 1.29792/103.77324 1.29628/103.77227
Central Library,18,LT13,19,80,A1 B1 D1,1.29628/103.77227 1.29626/103.77092 1.29483/103.77064
LT13,19,AS5,20,35,A1 B1 D1,1.29483/103.77064 1.29403/103.77080 1.29354/103.77175
AS5,20,COM2,21,90,A1 D1,1.29354/103.77175 1.29343/103.77211 1.29496/103.77316 1.29448/103.77387 1.29425/103.77379
COM2,21,BIZ2,22,160,A1 D1,1.29425/103.77379 1.29458/103.77328 1.29455/103.77286 1.29343/103.77212 1.29215/103.77443 1.29322/103.77506
BIZ2,22,Opp TCOMS,23,50,A1,1.29322/103.77506 1.29365/103.77532 1.29375/103.77684 1.29371/103.77702
Opp TCOMS,23,PGP Hse 7,24,25,A1,1.29371/103.77702 1.29310/103.77806
PGP House 7,24,PGP Terminal,0,55,A1,1.29310/103.77806 1.29290/103.77893 1.29212/103.78021 1.29181/103.78042
PGP Terminal,0,PGP House 15,1,45,A2,1.29181/103.78042 1.29212/103.78021 1.29290/103.77893 1.29298/103.77792
PGP House 15,1,TCOMS,2,20,A2,1.29298/103.77792 1.29355/103.77704
TCOMS,2,Opp HSSML,3,50,A2,1.29355/103.77704 1.29375/103.77684 1.29365/103.77532 1.29294/103.77513
Opp HSSML,3,Opp NUSS,4,80,A2 B2 D1,1.29294/103.77513 1.29215/103.77445 1.29325/103.77238
Opp NUSS,4,COM2,21,85,A2 D1,1.29325/103.77238 1.29343/103.77211 1.29496/103.77316 1.29448/103.77387 1.29425/103.77379
COM2,21,Ventus (Opp LT13),5,125,A2 D1,1.29425/103.77379 1.29458/103.77328 1.29455/103.77286 1.29343/103.77212 1.29403/103.77080 1.29535/103.77057
Ventus (Opp LT13),5,Information Technology,6,95,A2 B2 D1,1.29535/103.77057 1.29638/103.77093 1.29645/103.77210 1.29720/103.77269
Information Technology,6,Opp YIH,7,40,A2 B1 B2 D1,1.29720/103.77269 1.29787/103.77308 1.29889/103.77412
Opp YIH,7,Museum,8,100,A2 D1,1.29889/103.77412 1.29949/103.77445 1.30015/103.77445 1.30055/103.77413 1.30102/103.77315 1.30118/103.77315 1.30116/103.77346
Museum,8,University Health Centre,9,95,A2,1.30116/103.77346 1.30073/103.77428 1.29945/103.77472 1.29890/103.77524 1.29894/103.77606
University Health Centre,9,Opp UHall,10,60,A2 C,1.29894/103.77606 1.29816/103.77697 1.29756/103.77809
Opp UHall,10,S17,11,65,A2 C D2,1.29756/103.77809 1.29713/103.77942 1.29753/103.78068
S17,11,Opp Kent Ridge MRT,12,105,A2 D2,1.29753/103.78068 1.29743/103.78155 1.29702/103.78223 1.29690/103.78300 1.29555/103.78418 1.29498/103.78461
Opp Kent Ridge MRT,12,PGP Terminal,0,215,A2,1.29498/103.78461 1.29427/103.78498 1.29362/103.78507 1.29323/103.78537 1.29150/103.78360 1.29193/103.78317 1.29114/103.78081 1.29181/103.78042
Kent Ridge Bus Terminal,27,Information Technology,6,170,B1,1.29427/103.76965 1.29392/103.76926 1.29400/103.76911 1.29496/103.76950 1.29613/103.76958 1.29638/103.77093 1.29645/103.77210 1.29720/103.77269
Opp YIH,7,University Town,25,120,B1 B2,1.29889/103.77412 1.29949/103.77445 1.30015/103.77445 1.30055/103.77413 1.30132/103.77449 1.30276/103.77394 1.30310/103.77404 1.30355/103.77443
University Town,25,YIH,17,170,B1 D1,1.30355/103.77443 1.30367/103.77482 1.30367/103.77551 1.30383/103.77555 1.30376/103.77570 1.30364/103.77563 1.30367/103.77551 1.30338/103.77426 1.30310/103.77404 1.30276/103.77394 1.30132/103.77449 1.30072/103.77426 1.30008/103.77463 1.29955/103.77468 1.29938/103.77474 1.29928/103.77456 1.29885/103.77433
AS5,20,BIZ2,22,90,B1,1.29354/103.77175 1.29343/103.77212 1.29215/103.77443 1.29322/103.77506
Opp NUSS,4,Ventus (Opp LT13),5,65,B2,1.29325/103.77238 1.29343/103.77212 1.29403/103.77080 1.29535/103.77057
University Town,25,Raffles Hall,28,150,B2 C,1.30355/103.77443 1.30367/103.77482 1.30367/103.77551 1.30383/103.77555 1.30376/103.77570 1.30364/103.77563 1.30367/103.77551 1.30338/103.77426 1.30310/103.77404 1.30276/103.77394 1.30132/103.77449 1.30072/103.77426 1.30051/103.77423 1.30098/103.77333 1.30096/103.77275
Raffles Hall,28,EA,29,60,B2 C,1.30096/103.77275 1.30100/103.77191 1.30146/103.77053 1.30061/103.77020
EA,29,Kent Ridge Bus Terminal,27,80,B2 C,1.30061/103.77020 1.30016/103.76996 1.29609/103.76974 1.29482/103.76962 1.29427/103.76965
Kent Ridge Bus Terminal,27,Japanese Primary School,30,115,C,1.29427/103.76965 1.29392/103.76926 1.29400/103.76911 1.29496/103.76950 1.29613/103.76958 1.29988/103.76979 1.30076/103.76991
Japanese Primary School,30,Kent Vale ,31,60,C,1.30076/103.76991 1.30153/103.77038 1.30182/103.76961
Kent Vale,31,Museum,8,150,C,1.30182/103.76961 1.30180/103.77007 1.30108/103.77202 1.30116/103.77346
Museum,8,University Town,25,90,C D1 D2,1.30116/103.77346 1.30076/103.77421 1.30132/103.77449 1.30276/103.77394 1.30310/103.77404 1.30355/103.77443
University Town,25,University Health Centre,9,185,C D2,1.30355/103.77443 1.30367/103.77482 1.30367/103.77551 1.30383/103.77555 1.30376/103.77570 1.30364/103.77563 1.30367/103.77551 1.30338/103.77426 1.30310/103.77404 1.30276/103.77394 1.30132/103.77449 1.30072/103.77426 1.30008/103.77463 1.29955/103.77468 1.29890/103.77524 1.29894/103.77606
S17,11,LT27,14,110,C,1.29753/103.78068 1.29743/103.78155 1.29702/103.78223 1.29690/103.78300 1.29678/103.78294 1.29735/103.78099
Opp University Health Centre,16,University Town,25,145,C,1.29874/103.77566 1.29929/103.77461 1.29949/103.77445 1.30015/103.77445 1.30055/103.77413 1.30132/103.77449 1.30276/103.77394 1.30310/103.77404 1.30355/103.77443
Opp TCOMS,23,PGP Terminal,0,70,D2,1.29371/103.77702 1.29305/103.77797 1.29290/103.77893 1.29212/103.78021 1.29181/103.78042
Opp University Health Centre,16,Museum,8,125,D2,1.29874/103.77566 1.29929/103.77461 1.29949/103.77445 1.30015/103.77445 1.30055/103.77413 1.30102/103.77315 1.30118/103.77315 1.30116/103.77346
Opp Kent Ridge MRT,12,PGP Residence,26,155,D2,1.29498/103.78461 1.29427/103.78498 1.29362/103.78507 1.29323/103.78537 1.29150/103.78360 1.29193/103.78317 1.29096/103.78111
PGP Residence,26,TCOMS,2,90,D2,1.29096/103.78111 1.29130/103.78056 1.29212/103.78021 1.29290/103.77893 1.29303/103.77805 1.29355/103.77704
