Stop ID,Stop Name,Stop Duration
0,Prince George's Park,420
1,PGP Hse 15,30
2,TCOMS,30
3,Opp HSSML,30
4,Opp NUSS,30
5,Ventus (Opp LT13),30
6,Information Technology,30
7,Opp YIH,30
8,Museum,30
9,University Health Centre,30
10,Opp UHall,30
11,S17,30
12,Opp Kent Ridge MRT,30
13,Kent Ridge MRT,30
14,LT27,30
15,UHall,30
16,Opp University Health Centre,30
17,YIH,30
18,Central Library,30
19,LT13,30
20,AS5,30
21,COM2,30
22,BIZ 2,30
23,Opp TCOMS,30
24,PGP Hse 7,30
25,University Town,45
26,Prince George's Park Residence,30
27,Kent Ridge Bus Terminal ,600
28,Raffles Hall ,30
29,EA,30
30,The Japanese Primary School,30
31,Kent Vale ,30
